date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2016-10-31,1304,議借,340,3.0,15.4,2017-04-28,179
2016-11-04,1304,議借,1382,0.4,15.05,2017-05-04,181
2016-11-08,1304,議借,700,3.0,15.65,2017-05-08,181
2016-11-15,1304,議借,428,3.0,15.35,2017-05-15,181
2016-11-22,1304,競價,16,1.5,15.9,2017-05-22,181
2016-11-22,1304,競價,22,1.5,15.9,2017-05-22,181
2016-11-22,1304,競價,31,1.5,15.9,2017-05-22,181
2016-11-22,1304,競價,56,1.5,15.9,2017-05-22,181
2016-11-22,1304,競價,63,1.5,15.9,2017-05-22,181
2016-11-22,1304,競價,101,1.5,15.9,2017-05-22,181
2016-11-22,1304,競價,110,1.5,15.9,2017-05-22,181
2016-11-22,1304,競價,200,1.5,15.9,2017-05-22,181
2016-11-30,1304,議借,570,0.5,15.85,2017-05-26,177
2016-12-08,1304,議借,133,2.5,16.25,2017-06-08,182
2016-12-08,1304,議借,164,2.5,16.25,2017-06-08,182
2016-12-20,1304,議借,1370,1.48,16.5,2017-06-20,182
2016-12-26,1304,競價,10,1.5,15.8,2017-06-26,182
2017-01-04,1304,競價,16,1.5,16.15,2017-07-04,181
2017-01-04,1304,競價,37,1.5,16.15,2017-07-04,181
2017-01-04,1304,競價,43,1.5,16.15,2017-07-04,181
2017-01-04,1304,競價,56,1.5,16.15,2017-07-04,181
2017-01-04,1304,競價,70,1.5,16.15,2017-07-04,181
2017-01-04,1304,競價,90,1.5,16.15,2017-07-04,181
2017-01-11,1304,競價,31,1.5,15.85,2017-07-11,181
2017-02-07,1304,競價,84,1.5,17.0,2017-08-07,181
2017-02-08,1304,競價,13,1.5,17.0,2017-08-08,181
2017-02-08,1304,競價,18,1.5,17.0,2017-08-08,181
2017-02-23,1304,議借,275,3.0,16.75,2017-08-23,181
2017-03-07,1304,競價,49,1.5,16.55,2017-09-07,184
2017-03-10,1304,競價,51,1.5,16.15,2017-09-08,182
2017-03-28,1304,議借,200,3.0,15.6,2017-09-28,184
2017-04-07,1304,議借,30,1.0,15.8,2017-10-06,182
2017-07-13,1304,議借,200,3.0,15.45,2018-01-12,183
2017-07-19,1304,議借,167,0.5,15.65,2018-01-19,184
2017-07-21,1304,議借,800,3.0,15.6,2018-01-19,182
2017-07-25,1304,議借,240,3.0,15.55,2018-01-25,184
2017-07-25,1304,議借,1251,0.5,15.55,2018-01-25,184
2017-08-09,1304,議借,100,1.0,15.2,2018-02-09,184
2017-08-10,1304,議借,100,1.0,14.9,2018-02-09,183
2017-09-15,1304,議借,100,2.42,15.4,2018-03-15,181
2017-12-05,1304,議借,37,2.5,15.9,2018-06-05,182
2017-12-18,1304,議借,138,2.5,16.2,2018-06-15,179
2017-12-18,1304,議借,158,2.5,16.2,2018-06-15,179
2017-12-18,1304,議借,138,2.5,16.2,2018-06-15,179
2017-12-18,1304,議借,158,2.5,16.2,2018-06-15,179
2018-01-22,1304,議借,935,2.25,15.85,2018-07-20,179
2018-01-22,1304,議借,935,2.25,15.85,2018-07-20,179
2018-01-31,1304,議借,170,3.0,15.55,2018-07-31,181
2018-01-31,1304,議借,170,3.0,15.55,2018-07-31,181
2018-03-26,1304,議借,250,3.0,14.55,2018-09-26,184
2018-03-26,1304,議借,250,3.0,14.55,2018-09-26,184
2018-04-18,1304,競價,10,1.5,14.5,2018-10-18,183
